待翻译: 1410 条 (样本=0, 限制=0)
共 141 批, 并发 8
进度 10/1410 | 输入 805 tok | 输出 493 tok | 费用 ¥0.0018 | 4s
进度 20/1410 | 输入 1717 tok | 输出 1090 tok | 费用 ¥0.0039 | 4s
进度 30/1410 | 输入 2510 tok | 输出 1584 tok | 费用 ¥0.0057 | 4s
进度 40/1410 | 输入 3565 tok | 输出 2323 tok | 费用 ¥0.0082 | 5s
进度 50/1410 | 输入 4610 tok | 输出 3050 tok | 费用 ¥0.0107 | 5s
进度 60/1410 | 输入 5659 tok | 输出 3768 tok | 费用 ¥0.0132 | 5s
进度 70/1410 | 输入 6823 tok | 输出 4577 tok | 费用 ¥0.0160 | 6s
进度 80/1410 | 输入 8140 tok | 输出 5572 tok | 费用 ¥0.0193 | 6s
进度 90/1410 | 输入 9185 tok | 输出 6291 tok | 费用 ¥0.0218 | 9s
进度 100/1410 | 输入 10332 tok | 输出 7107 tok | 费用 ¥0.0245 | 9s
进度 110/1410 | 输入 11258 tok | 输出 7715 tok | 费用 ¥0.0267 | 9s
进度 120/1410 | 输入 12284 tok | 输出 8395 tok | 费用 ¥0.0291 | 9s
进度 130/1410 | 输入 13456 tok | 输出 9255 tok | 费用 ¥0.0320 | 10s
进度 140/1410 | 输入 14474 tok | 输出 9957 tok | 费用 ¥0.0344 | 10s
进度 150/1410 | 输入 15365 tok | 输出 10529 tok | 费用 ¥0.0364 | 11s
进度 160/1410 | 输入 16856 tok | 输出 11661 tok | 费用 ¥0.0402 | 11s
进度 170/1410 | 输入 17672 tok | 输出 12183 tok | 费用 ¥0.0420 | 12s
进度 180/1410 | 输入 18564 tok | 输出 12765 tok | 费用 ¥0.0441 | 13s
进度 190/1410 | 输入 19587 tok | 输出 13450 tok | 费用 ¥0.0465 | 14s
进度 200/1410 | 输入 20522 tok | 输出 14090 tok | 费用 ¥0.0487 | 15s
进度 210/1410 | 输入 21504 tok | 输出 14788 tok | 费用 ¥0.0511 | 15s
进度 220/1410 | 输入 22382 tok | 输出 15365 tok | 费用 ¥0.0531 | 16s
进度 230/1410 | 输入 23808 tok | 输出 16456 tok | 费用 ¥0.0567 | 17s
进度 240/1410 | 输入 25007 tok | 输出 17331 tok | 费用 ¥0.0597 | 17s
进度 250/1410 | 输入 26664 tok | 输出 18635 tok | 费用 ¥0.0639 | 17s
进度 260/1410 | 输入 28033 tok | 输出 19632 tok | 费用 ¥0.0673 | 19s
进度 270/1410 | 输入 29247 tok | 输出 20532 tok | 费用 ¥0.0703 | 19s
进度 280/1410 | 输入 30404 tok | 输出 21310 tok | 费用 ¥0.0730 | 20s
进度 290/1410 | 输入 31467 tok | 输出 22067 tok | 费用 ¥0.0756 | 20s
进度 300/1410 | 输入 32531 tok | 输出 22807 tok | 费用 ¥0.0781 | 22s
进度 310/1410 | 输入 33417 tok | 输出 23403 tok | 费用 ¥0.0802 | 23s
进度 320/1410 | 输入 34285 tok | 输出 23934 tok | 费用 ¥0.0822 | 23s
进度 330/1410 | 输入 35724 tok | 输出 25036 tok | 费用 ¥0.0858 | 24s
进度 340/1410 | 输入 37255 tok | 输出 26236 tok | 费用 ¥0.0897 | 24s
进度 350/1410 | 输入 38794 tok | 输出 27394 tok | 费用 ¥0.0936 | 24s
进度 360/1410 | 输入 39987 tok | 输出 28276 tok | 费用 ¥0.0965 | 25s
进度 370/1410 | 输入 40950 tok | 输出 28936 tok | 费用 ¥0.0988 | 26s
进度 380/1410 | 输入 42767 tok | 输出 30387 tok | 费用 ¥0.1035 | 27s
进度 390/1410 | 输入 43670 tok | 输出 31004 tok | 费用 ¥0.1057 | 28s
进度 400/1410 | 输入 44596 tok | 输出 31601 tok | 费用 ¥0.1078 | 28s
进度 410/1410 | 输入 45647 tok | 输出 32322 tok | 费用 ¥0.1103 | 28s
进度 420/1410 | 输入 46765 tok | 输出 33091 tok | 费用 ¥0.1129 | 28s
进度 430/1410 | 输入 47668 tok | 输出 33677 tok | 费用 ¥0.1150 | 29s
进度 440/1410 | 输入 48897 tok | 输出 34534 tok | 费用 ¥0.1180 | 30s
进度 450/1410 | 输入 49780 tok | 输出 35113 tok | 费用 ¥0.1200 | 30s
进度 460/1410 | 输入 50590 tok | 输出 35595 tok | 费用 ¥0.1218 | 31s
进度 470/1410 | 输入 51448 tok | 输出 36143 tok | 费用 ¥0.1237 | 31s
进度 480/1410 | 输入 52518 tok | 输出 36902 tok | 费用 ¥0.1263 | 32s
进度 490/1410 | 输入 53444 tok | 输出 37498 tok | 费用 ¥0.1284 | 32s
进度 500/1410 | 输入 54242 tok | 输出 37993 tok | 费用 ¥0.1302 | 32s
进度 510/1410 | 输入 55384 tok | 输出 38790 tok | 费用 ¥0.1330 | 33s
进度 520/1410 | 输入 56248 tok | 输出 39334 tok | 费用 ¥0.1349 | 33s
进度 530/1410 | 输入 57160 tok | 输出 39927 tok | 费用 ¥0.1370 | 33s
进度 540/1410 | 输入 58016 tok | 输出 40484 tok | 费用 ¥0.1390 | 35s
进度 550/1410 | 输入 58746 tok | 输出 40930 tok | 费用 ¥0.1406 | 35s
进度 560/1410 | 输入 59527 tok | 输出 41417 tok | 费用 ¥0.1424 | 35s
进度 570/1410 | 输入 60431 tok | 输出 42010 tok | 费用 ¥0.1445 | 35s
进度 580/1410 | 输入 61101 tok | 输出 42402 tok | 费用 ¥0.1459 | 36s
进度 590/1410 | 输入 61914 tok | 输出 42915 tok | 费用 ¥0.1477 | 36s
进度 600/1410 | 输入 62999 tok | 输出 43670 tok | 费用 ¥0.1503 | 37s
进度 610/1410 | 输入 63789 tok | 输出 44148 tok | 费用 ¥0.1521 | 37s
进度 620/1410 | 输入 64769 tok | 输出 44812 tok | 费用 ¥0.1544 | 37s
进度 630/1410 | 输入 65551 tok | 输出 45282 tok | 费用 ¥0.1561 | 38s
进度 640/1410 | 输入 66536 tok | 输出 45961 tok | 费用 ¥0.1585 | 39s
进度 650/1410 | 输入 67348 tok | 输出 46452 tok | 费用 ¥0.1603 | 39s
进度 660/1410 | 输入 68139 tok | 输出 46945 tok | 费用 ¥0.1620 | 40s
进度 670/1410 | 输入 68884 tok | 输出 47407 tok | 费用 ¥0.1637 | 40s
进度 680/1410 | 输入 70324 tok | 输出 48518 tok | 费用 ¥0.1674 | 40s
进度 690/1410 | 输入 71577 tok | 输出 49396 tok | 费用 ¥0.1704 | 41s
进度 700/1410 | 输入 72479 tok | 输出 49993 tok | 费用 ¥0.1725 | 41s
进度 710/1410 | 输入 73392 tok | 输出 50621 tok | 费用 ¥0.1746 | 42s
进度 720/1410 | 输入 74236 tok | 输出 51146 tok | 费用 ¥0.1765 | 42s
进度 730/1410 | 输入 75136 tok | 输出 51728 tok | 费用 ¥0.1786 | 43s
进度 740/1410 | 输入 75986 tok | 输出 52266 tok | 费用 ¥0.1805 | 43s
进度 750/1410 | 输入 76801 tok | 输出 52790 tok | 费用 ¥0.1824 | 43s
进度 760/1410 | 输入 77642 tok | 输出 53324 tok | 费用 ¥0.1843 | 44s
进度 770/1410 | 输入 78604 tok | 输出 53975 tok | 费用 ¥0.1866 | 45s
进度 780/1410 | 输入 79530 tok | 输出 54577 tok | 费用 ¥0.1887 | 45s
进度 790/1410 | 输入 80538 tok | 输出 55273 tok | 费用 ¥0.1911 | 46s
进度 800/1410 | 输入 81340 tok | 输出 55783 tok | 费用 ¥0.1929 | 47s
进度 810/1410 | 输入 82575 tok | 输出 56718 tok | 费用 ¥0.1960 | 48s
进度 820/1410 | 输入 83659 tok | 输出 57485 tok | 费用 ¥0.1986 | 48s
进度 830/1410 | 输入 84946 tok | 输出 58435 tok | 费用 ¥0.2018 | 51s
进度 840/1410 | 输入 85978 tok | 输出 59143 tok | 费用 ¥0.2043 | 51s
进度 850/1410 | 输入 87781 tok | 输出 60567 tok | 费用 ¥0.2089 | 51s
进度 860/1410 | 输入 88879 tok | 输出 61358 tok | 费用 ¥0.2116 | 53s
进度 870/1410 | 输入 90503 tok | 输出 62621 tok | 费用 ¥0.2157 | 55s
进度 880/1410 | 输入 91577 tok | 输出 63392 tok | 费用 ¥0.2184 | 56s
进度 890/1410 | 输入 92592 tok | 输出 64124 tok | 费用 ¥0.2208 | 56s
进度 900/1410 | 输入 93555 tok | 输出 64811 tok | 费用 ¥0.2232 | 57s
进度 910/1410 | 输入 95678 tok | 输出 66593 tok | 费用 ¥0.2289 | 57s
进度 920/1410 | 输入 98160 tok | 输出 68672 tok | 费用 ¥0.2355 | 57s
进度 930/1410 | 输入 101325 tok | 输出 71610 tok | 费用 ¥0.2445 | 57s
进度 940/1410 | 输入 102885 tok | 输出 72774 tok | 费用 ¥0.2484 | 58s
进度 950/1410 | 输入 104002 tok | 输出 73594 tok | 费用 ¥0.2512 | 59s
进度 960/1410 | 输入 105383 tok | 输出 74683 tok | 费用 ¥0.2547 | 62s
进度 970/1410 | 输入 106638 tok | 输出 75616 tok | 费用 ¥0.2579 | 62s
进度 980/1410 | 输入 107974 tok | 输出 76628 tok | 费用 ¥0.2612 | 63s
进度 990/1410 | 输入 109243 tok | 输出 77540 tok | 费用 ¥0.2643 | 63s
进度 1000/1410 | 输入 110717 tok | 输出 78637 tok | 费用 ¥0.2680 | 63s
进度 1010/1410 | 输入 112557 tok | 输出 80110 tok | 费用 ¥0.2728 | 65s
进度 1020/1410 | 输入 113986 tok | 输出 81212 tok | 费用 ¥0.2764 | 66s
进度 1030/1410 | 输入 116444 tok | 输出 83258 tok | 费用 ¥0.2830 | 67s
进度 1040/1410 | 输入 117549 tok | 输出 84051 tok | 费用 ¥0.2857 | 68s
进度 1050/1410 | 输入 119083 tok | 输出 85257 tok | 费用 ¥0.2896 | 69s
进度 1060/1410 | 输入 120986 tok | 输出 86833 tok | 费用 ¥0.2947 | 70s
进度 1070/1410 | 输入 122830 tok | 输出 88344 tok | 费用 ¥0.2995 | 72s
进度 1080/1410 | 输入 124297 tok | 输出 89448 tok | 费用 ¥0.3032 | 72s
进度 1090/1410 | 输入 125868 tok | 输出 90694 tok | 费用 ¥0.3073 | 72s
进度 1100/1410 | 输入 126970 tok | 输出 91497 tok | 费用 ¥0.3100 | 74s
进度 1110/1410 | 输入 129673 tok | 输出 93747 tok | 费用 ¥0.3172 | 75s
进度 1120/1410 | 输入 131324 tok | 输出 95122 tok | 费用 ¥0.3216 | 75s
进度 1130/1410 | 输入 132648 tok | 输出 96113 tok | 费用 ¥0.3249 | 76s
进度 1140/1410 | 输入 134564 tok | 输出 97687 tok | 费用 ¥0.3299 | 77s
进度 1150/1410 | 输入 135950 tok | 输出 98724 tok | 费用 ¥0.3334 | 78s
进度 1160/1410 | 输入 137607 tok | 输出 99905 tok | 费用 ¥0.3374 | 79s
进度 1170/1410 | 输入 138396 tok | 输出 100391 tok | 费用 ¥0.3392 | 80s
进度 1180/1410 | 输入 139547 tok | 输出 101217 tok | 费用 ¥0.3420 | 80s
进度 1190/1410 | 输入 140775 tok | 输出 102096 tok | 费用 ¥0.3450 | 80s
进度 1200/1410 | 输入 142190 tok | 输出 103148 tok | 费用 ¥0.3485 | 80s
进度 1210/1410 | 输入 144153 tok | 输出 104795 tok | 费用 ¥0.3537 | 81s
进度 1220/1410 | 输入 145069 tok | 输出 105409 tok | 费用 ¥0.3559 | 82s
进度 1230/1410 | 输入 145848 tok | 输出 105866 tok | 费用 ¥0.3576 | 83s
