待翻译: 2683 条 (样本=0, 限制=0)
共 269 批, 并发 8
进度 10/2683 | 输入 625 tok | 输出 334 tok | 费用 ¥0.0013 | 3s
进度 20/2683 | 输入 1528 tok | 输出 850 tok | 费用 ¥0.0032 | 4s
进度 30/2683 | 输入 2527 tok | 输出 1487 tok | 费用 ¥0.0055 | 5s
进度 40/2683 | 输入 3565 tok | 输出 2156 tok | 费用 ¥0.0079 | 5s
进度 50/2683 | 输入 4648 tok | 输出 2882 tok | 费用 ¥0.0104 | 6s
进度 60/2683 | 输入 6230 tok | 输出 4082 tok | 费用 ¥0.0144 | 7s
进度 70/2683 | 输入 6992 tok | 输出 4501 tok | 费用 ¥0.0160 | 8s
进度 80/2683 | 输入 8529 tok | 输出 5638 tok | 费用 ¥0.0198 | 8s
进度 90/2683 | 输入 9491 tok | 输出 6222 tok | 费用 ¥0.0219 | 8s
进度 100/2683 | 输入 10406 tok | 输出 6785 tok | 费用 ¥0.0240 | 9s
进度 110/2683 | 输入 11438 tok | 输出 7462 tok | 费用 ¥0.0264 | 9s
进度 120/2683 | 输入 13504 tok | 输出 9194 tok | 费用 ¥0.0319 | 10s
进度 130/2683 | 输入 14363 tok | 输出 9689 tok | 费用 ¥0.0337 | 10s
进度 140/2683 | 输入 15361 tok | 输出 10333 tok | 费用 ¥0.0360 | 14s
进度 150/2683 | 输入 16609 tok | 输出 11249 tok | 费用 ¥0.0391 | 16s
进度 160/2683 | 输入 18019 tok | 输出 12262 tok | 费用 ¥0.0425 | 17s
进度 170/2683 | 输入 20059 tok | 输出 13834 tok | 费用 ¥0.0477 | 18s
进度 180/2683 | 输入 22024 tok | 输出 15496 tok | 费用 ¥0.0530 | 18s
进度 190/2683 | 输入 24418 tok | 输出 17478 tok | 费用 ¥0.0594 | 19s
进度 200/2683 | 输入 25558 tok | 输出 18289 tok | 费用 ¥0.0621 | 20s
进度 210/2683 | 输入 26440 tok | 输出 18853 tok | 费用 ¥0.0641 | 21s
进度 220/2683 | 输入 29386 tok | 输出 21337 tok | 费用 ¥0.0721 | 23s
进度 230/2683 | 输入 32593 tok | 输出 24077 tok | 费用 ¥0.0807 | 23s
进度 240/2683 | 输入 33530 tok | 输出 24680 tok | 费用 ¥0.0829 | 23s
进度 250/2683 | 输入 34570 tok | 输出 25376 tok | 费用 ¥0.0853 | 23s
进度 260/2683 | 输入 35682 tok | 输出 26122 tok | 费用 ¥0.0879 | 25s
进度 270/2683 | 输入 36985 tok | 输出 27050 tok | 费用 ¥0.0911 | 27s
进度 280/2683 | 输入 39093 tok | 输出 28763 tok | 费用 ¥0.0966 | 27s
进度 290/2683 | 输入 40031 tok | 输出 29374 tok | 费用 ¥0.0988 | 28s
进度 300/2683 | 输入 42144 tok | 输出 31023 tok | 费用 ¥0.1042 | 28s
进度 310/2683 | 输入 43569 tok | 输出 32121 tok | 费用 ¥0.1078 | 30s
进度 320/2683 | 输入 44424 tok | 输出 32707 tok | 费用 ¥0.1098 | 31s
进度 330/2683 | 输入 45300 tok | 输出 33270 tok | 费用 ¥0.1118 | 31s
进度 340/2683 | 输入 47200 tok | 输出 34830 tok | 费用 ¥0.1169 | 33s
进度 350/2683 | 输入 48145 tok | 输出 35510 tok | 费用 ¥0.1192 | 33s
进度 360/2683 | 输入 49843 tok | 输出 36856 tok | 费用 ¥0.1236 | 33s
进度 370/2683 | 输入 52104 tok | 输出 38714 tok | 费用 ¥0.1295 | 34s
进度 380/2683 | 输入 53037 tok | 输出 39336 tok | 费用 ¥0.1317 | 34s
进度 390/2683 | 输入 54247 tok | 输出 40252 tok | 费用 ¥0.1348 | 35s
进度 400/2683 | 输入 55037 tok | 输出 40740 tok | 费用 ¥0.1365 | 35s
进度 410/2683 | 输入 55740 tok | 输出 41171 tok | 费用 ¥0.1381 | 36s
进度 420/2683 | 输入 56579 tok | 输出 41716 tok | 费用 ¥0.1400 | 37s
进度 430/2683 | 输入 57690 tok | 输出 42528 tok | 费用 ¥0.1427 | 37s
进度 440/2683 | 输入 58555 tok | 输出 43085 tok | 费用 ¥0.1447 | 38s
进度 450/2683 | 输入 59873 tok | 输出 44081 tok | 费用 ¥0.1480 | 39s
进度 460/2683 | 输入 60914 tok | 输出 44783 tok | 费用 ¥0.1505 | 40s
进度 470/2683 | 输入 62032 tok | 输出 45555 tok | 费用 ¥0.1531 | 42s
进度 480/2683 | 输入 62933 tok | 输出 46127 tok | 费用 ¥0.1552 | 43s
进度 490/2683 | 输入 64276 tok | 输出 47118 tok | 费用 ¥0.1585 | 43s
进度 500/2683 | 输入 65343 tok | 输出 47836 tok | 费用 ¥0.1610 | 45s
进度 510/2683 | 输入 67120 tok | 输出 49227 tok | 费用 ¥0.1656 | 45s
进度 520/2683 | 输入 68604 tok | 输出 50344 tok | 费用 ¥0.1693 | 46s
进度 530/2683 | 输入 70879 tok | 输出 52062 tok | 费用 ¥0.1750 | 47s
进度 540/2683 | 输入 73431 tok | 输出 54144 tok | 费用 ¥0.1817 | 47s
进度 550/2683 | 输入 74514 tok | 输出 54877 tok | 费用 ¥0.1843 | 47s
进度 560/2683 | 输入 75733 tok | 输出 55719 tok | 费用 ¥0.1872 | 48s
进度 570/2683 | 输入 77254 tok | 输出 56864 tok | 费用 ¥0.1910 | 51s
进度 580/2683 | 输入 78239 tok | 输出 57531 tok | 费用 ¥0.1933 | 51s
进度 590/2683 | 输入 79076 tok | 输出 58047 tok | 费用 ¥0.1952 | 51s
进度 600/2683 | 输入 80092 tok | 输出 58728 tok | 费用 ¥0.1975 | 52s
进度 610/2683 | 输入 81244 tok | 输出 59515 tok | 费用 ¥0.2003 | 53s
进度 620/2683 | 输入 82158 tok | 输出 60102 tok | 费用 ¥0.2024 | 55s
进度 630/2683 | 输入 83000 tok | 输出 60654 tok | 费用 ¥0.2043 | 56s
进度 640/2683 | 输入 84020 tok | 输出 61366 tok | 费用 ¥0.2068 | 56s
进度 650/2683 | 输入 86200 tok | 输出 63315 tok | 费用 ¥0.2128 | 56s
进度 660/2683 | 输入 87266 tok | 输出 64025 tok | 费用 ¥0.2153 | 56s
进度 670/2683 | 输入 88167 tok | 输出 64600 tok | 费用 ¥0.2174 | 57s
进度 680/2683 | 输入 90719 tok | 输出 66795 tok | 费用 ¥0.2243 | 57s
进度 690/2683 | 输入 92847 tok | 输出 68445 tok | 费用 ¥0.2297 | 59s
进度 700/2683 | 输入 93605 tok | 输出 68900 tok | 费用 ¥0.2314 | 60s
